,Unnamed: 0,Unnamed: 0.1,title,a0,a1,q0,q1,source,sub_id,cond,val,index
20,20,20,Three-for-Seven Fumes,no,it is not your place to choose who lives or dies in this situation,"You are the late-night watchman in a hospital. Due to an accident in  the building next door, there are deadly fumes rising up through the hospital's ventilation system. In a certain room of the hospital are three patients. In another room there are seven patients. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to save these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three people. As a result of doing this the fumes will enter the room containing the seven patients, causing their deaths. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?",Why?,Human,60841d3e92be890d07774975,impersonal_moral,no,20
21,21,21,Taxes,no,"  it is not appropriate to pretend that certain personal expenses are business expenses in order to lower your taxes because this is considered tax fraud. tax fraud is a serious offense that can result in fines, jail time, and other penalties. additionally, the internal revenue service (irs) has strict rules and regulations regarding how business expenses are reported and any attempt to manipulate these rules can be considered fraudulent. therefore, it is best to take advantage of legitimate deductions and credits that are available to small businesses instead of trying to manipulate the system.","You are the owner of a small business trying to make ends meet.   It occurs to you that you could lower your taxes by pretending that some of your personal expenses are business expenses. For example, you could pretend that the stereo in your bedroom is being used in the lounge at the office, or that your dinners out with your wife are dinners with clients. Is it appropriate for you to pretend that certain personal expenses are business expenses in order to lower your taxes? ",Why?,AI,1.0,impersonal_moral,no,21
22,22,22,Lost Wallet,no,the cash belongs to the person who lost the wallet,"You are walking down the street when you come across a wallet lying  on the ground. You open the wallet and find that it contains several hundred dollars in cash as well the owner's driver's license. From the credit cards and other items in the wallet it's very clear that the wallet's owner is wealthy. You, on the other hand, have been hit by hard times recently and could really use some extra money. You consider sending the wallet back to the owner without the cash, keeping the cash for yourself. Is it appropriate for you to keep the money you found in the wallet in order to have more money for yourself?",Why?,Human,613480877420e274a0dd9779,impersonal_moral,no,22
23,23,23,Ecologists,yes,because otherwise we will all die. ,"You are part of a group of ecologists who live in a remote  stretch of jungle. The entire group, which includes eight children, has been taken hostage by a group of paramilitary terrorists. One of the terrorists takes a liking to you. He informs you that his leader intends to kill you and the rest of the hostages the following morning. He is willing to help you and the children escape, but as an act of good faith he wants you to kill one of your fellow hostages whom he does not like. If you refuse his offer all the hostages including the children and yourself will die. If you accept his offer then the others will die in the morning but you and the eight children will escape. Is it appropriate for you to kill one of your fellow hostages in order to escape from the terrorists and save the lives of the eight children?",Why?,Human,614726b73ab8022a9edc7f45,personal_moral,yes,23
24,24,24,Vitamins,no,it's not appropriate to do so,"You are the leader of a mountaineering expedition that is stranded in the  wilderness. Your expedition includes a family of six that has a genetically caused vitamin deficiency. A few people's kidneys contain large amounts of this vitamin. There is one such person in your party. The only way to save the lives of the six members of this family is to remove one of this man's kidneys so that the necessary vitamins may be extracted from it. The man will not die if you do this, but his health will be compromised. The man is opposed to this plan, but you have the power to do as you see fit. Is it appropriate for you to forcibly remove this man's kidney in order to save the lives of the six vitamin-deficient people?",Why?,Human,5ecff76b3acdb0095ebf080d,personal_moral,no,24
25,25,25,Resume,no,"he has lied and someone better could have got the job, however, i do understand his situation and don't think it is causing anyone harm that he did that.","You have a friend who has been trying to find a job lately  without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment?",Why?,Human,60fd310fff5b2600c9d95554,impersonal_moral,no,25
26,26,26,Crying Baby,yes,good lord this is a harrowing question. but yes. keep everyone else safe,"Enemy soldiers have taken over your village. They have orders to kill all  remaining civilians. You and some of your townspeople have sought refuge in the cellar of a large house. Outside you hear the voices of soldiers who have come to search the house for valuables. Your baby begins to cry loudly. You cover his mouth to block the sound. If you remove your hand from his mouth his crying will summon the attention of the soldiers who will kill you, your child, and the others hiding out in the cellar. To save yourself and the others you must smother your child to death. Is it appropriate for you to smother your child in order to save yourself and the other townspeople?",Why?,Human,60990cfc7441dc3e4c3e071a,personal_moral,yes,26
27,27,27,Environmental Policy B1,no,2% for potentially 9000 deaths,"You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy B over Policy A?",Why?,Human,5ecff76b3acdb0095ebf080d,impersonal_moral,no,27
28,28,28,Euthanasia,yes,i would rather kill my injured solider myself than to know that his is being tortured in god knows how many awful ways behind my back.,"You are the leader of a small group of soldiers. You are on  your way back from a completed mission deep in enemy territory when one of your men has stepped in trap that has been set by the enemy and is badly injured. The trap is connected to a radio device that by now has alerted the enemy to your presence. They will soon be on their way. If the enemy finds your injured man they will torture him and kill him. He begs you not to leave him behind, but if you try to take him with you your entire group will be captured. The only way to prevent this injured soldier from being tortured is to shoot him yourself. Is it appropriate for you to shoot this soldier in order to prevent him from being tortured by the enemy?",Why?,Human,62d6d77df59450e545fb22f6,personal_moral,yes,28
29,29,29,Vaccine Policy,yes,"   because the evidence strongly suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. this means that encouraging the use of this vaccine is the best course of action for promoting national health. additionally, the benefits of vaccinating a large proportion of the population against this deadly disease far outweigh the risks associated with the vaccine.","You work for the Bureau of Health, a government agency. You are deciding   whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to prevent. All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health? ",Why?,AI,7.0,impersonal_moral,yes,29
30,30,30,Shower,yes,personal hygeine is very important ,"You are planning to attend a luncheon this afternoon, and before you go  you will need to take a shower. You have some yard work that you would like to do before then, and doing this yard will cause you to perspire a fair amount. If you shower before you do your yard work you will have to take another shower before the luncheon. At the present time you could enjoy taking a shower. At the same time, you have a very strong commitment to lowering your water bill and to showering no more than once a day. Would you shower before doing your yard work in order to enjoy a shower now?",Why?,Human,600976bb815503417c529565,non_moral,yes,30
31,31,31,Standard Fumes,yes,i would save 3 people instead of 1,"You are the late-night watchman in a hospital. Due to an accident in  the building next door, there are deadly fumes rising up through the hospital's ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?",Why?,Human,5c3f3ae7d831ed0001f78c4f,impersonal_moral,yes,31
32,32,32,Broken VCR,no," it is important to consider both the cost and the quality of the product when making decisions. in this case, the cost of repairing the broken vcr is the same as the cost of purchasing a new one. however, the new vcr is slightly better than the old one, meaning it is likely to last longer and require fewer repairs in the future. for these reasons, it is more cost-effective to purchase the new vcr than to repair the old one.",You have brought your broken VCR to the local repair shop. The woman   working at the shop tells you that it will cost you about $100 to have it fixed. You noticed in the paper that morning that the electronics shop next door is having a sale on VCR’s and that a certain new VCR which is slightly better than your old one is on sale for $100. Would you have your old VCR fixed in order to avoid spending money on a new one? ,Why?,AI,4.0,non_moral,no,32
34,34,34,Scheduling,yes,if someone has a flexible time table then it would make sense to use that to help someone else,"You are in charge of scheduling appointments in a dentist's office. Two people,  Mr. Morris and Mrs. Santiago have called to make appointments for next Monday. The only available times for next Monday are at 10:00 AM and at 3:00 PM. Mr. Morris's schedule is rather flexible. He can have his appointment either at 10:00 AM or at 3:00 PM. Mrs. Santiago's schedule is less flexible. She can only have her appointment at 10:00 AM. Would you schedule Mr. Morris for 3:00 PM so that both he and Mrs. Santiago can have their appointments next Monday?",Why?,Human,637ef49d54038582f78ff288,non_moral,yes,34
35,35,35,Plane Crash,no,"  killing this boy would be a violation of the fundamental human right to life, and thus morally wrong. killing the boy would also be an act of selfishness, since it would be done solely for the purpose of ensuring the survival of the two adults. it is important to remember that all human life is valuable, and that taking the life of another in order to save one's own is never the right answer.","Your plane has crashed in the Himalayas. The only survivors are yourself, another   man, and a young boy. The three of you travel for days, battling extreme cold and wind. Your only chance at survival is to find your way to small a village on the other side of the mountain, several days away. The boy has a broken leg and cannot move very quickly. Hischances of surviving the journey are essentially zero. Without food, you and the other man will probably die as well. The other man suggests that you sacrifice the boy and eat his remains over the next few days. Is it appropriate to kill this boy so that you and the other man may survive your journey to safety? ",Why?,AI,23.0,personal_moral,no,35
36,36,36,Shower,yes,as long as i do not smell and feel clean before going out it would not matter to me,"You are planning to attend a luncheon this afternoon, and before you go  you will need to take a shower. You have some yard work that you would like to do before then, and doing this yard will cause you to perspire a fair amount. If you shower before you do your yard work you will have to take another shower before the luncheon. At the present time you could enjoy taking a shower. At the same time, you have a very strong commitment to lowering your water bill and to showering no more than once a day. Would you shower before doing your yard work in order to enjoy a shower now?",Why?,Human,5ee3f235c53c280e4261bcc3,non_moral,yes,36
37,37,37,Jogging,yes,"   this is the best solution because it allows me to get my work done before the rain starts and still get to enjoy some outdoor exercise. if i waited until it rained, i would have to either postpone my jogging or do it in the rain, which i dislike. by doing my paperwork now, i can get my work done before the rain and still go for a jog in the nice weather.","You intend to accomplish two things this afternoon: going for a jog and   doing some paperwork. In general you prefer to get your work done before you exercise. The weather is nice at the moment, but the weather forecast says that in a couple of hours it will start to rain. You very much dislike jogging in the rain, but you don’t care what the weather is like while you do paperwork. Would you do your paperwork now with the intention of jogging in a couple of hours in order to get your work done before you exercise? ",Why?,AI,17.0,non_moral,yes,37
38,38,38,Preventing the Spread 2,yes,the prevention of others suffering appears to be justifiable and appropiate in this case.,You are a waiter. You overhear one of your customers say that he  is about to go to jail and that in his last forty-eight hours of freedom he plans to infect as many people as possible with HIV. You know him well enough to know that he is telling the truth and that he has access to many potential victims. You happen to know that he has a very strong allergy to poppy seeds. If he eats even one he will go into convulsions and have to be hospitalized. for at least forty-eight hours. Is it appropriate for you to cause this man to have a serious allergy attack in order to prevent him from spreading HIV?,Why?,Human,5f3bdc715637da0bc38980ba,personal_moral,yes,38
39,39,39,Raffle,yes,seems logical to go for the raffle which you have the best chance of winning,"You've decided to buy a raffle ticket to support a local charity. They  are separately raffling off two different cars: Car A and Car B. You have decided to buy one raffle ticket. You are a serious and knowledgeable car enthusiast, and you think that these two cars are equally good. Because there have been a lot of adds for Car B on TV recently, many more people have chosen to buy tickets for the Car B raffle. Since more people have bought tickets for the Car B raffle, your chances of winning are better in the Car A raffle than in the Car B raffle. Would you buy a ticket for the Car B raffle in order to win a car?",Why?,Human,6294bad868788e1f03d52c6c,non_moral,yes,39
40,40,40,Jogging,yes,"  i would do this because it would allow me to get my work done before the rain starts and enjoy a nice jog in the sunshine. this way, i can make sure i accomplish both of my goals for the afternoon without having to worry about getting wet in the rain.","You intend to accomplish two things this afternoon: going for a jog and   doing some paperwork. In general you prefer to get your work done before you exercise. The weather is nice at the moment, but the weather forecast says that in a couple of hours it will start to rain. You very much dislike jogging in the rain, but you don’t care what the weather is like while you do paperwork. Would you do your paperwork now with the intention of jogging in a couple of hours in order to get your work done before you exercise? ",Why?,AI,23.0,non_moral,yes,40
41,41,41,Euthanasia,no,"i would leave the soider a gun in order to shoot the enemy, and then himself. ","You are the leader of a small group of soldiers. You are on  your way back from a completed mission deep in enemy territory when one of your men has stepped in trap that has been set by the enemy and is badly injured. The trap is connected to a radio device that by now has alerted the enemy to your presence. They will soon be on their way. If the enemy finds your injured man they will torture him and kill him. He begs you not to leave him behind, but if you try to take him with you your entire group will be captured. The only way to prevent this injured soldier from being tortured is to shoot him yourself. Is it appropriate for you to shoot this soldier in order to prevent him from being tortured by the enemy?",Why?,Human,5f4a5983a08b215d74d2cd99,personal_moral,no,41
42,42,42,Donation,no,"  making a donation to the organization is a way of showing compassion and helping those in need. it is also a way of contributing to a better world. by not donating, you would be depriving the organization of the funds they need to continue to provide aid, which could potentially lead to people suffering needlessly.",You are at home one day when the mail arrives. You receive a   letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization. The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world. Is it appropriate for you to not make a donation to this organization in order to save money? ,Why?,AI,20.0,impersonal_moral,no,42
43,43,43,Guarded Speedboat,yes,"  it is appropriate to lie to the guard in this situation because the goal of warning the tourists about the storm is a greater good and it would be unjust to put their lives in danger when a minor deception could save them. in this case, it is important to consider the consequences of the lie and to weigh them against the potential good that could result. additionally, it is important to consider the context and any other available options.","While on vacation on a remote island, you are fishing from a seaside   dock. You observe a group of tourists board a small boat and set sail for a nearby island. Soon after their departure you hear over the radio that there is a violent storm brewing, a storm that is sure to intercept them. The only way that you can ensure their safety is to warn them by borrowing a nearby speedboat. The speedboat belongs to a miserly tycoon who has hired a fiercely loyal guard to make sure that no one uses his boat without permission. To get to the speedboat you will have to lie to the guard. Is it appropriate for you to lie to the guard in order to borrow the speedboat and warn the tourists about the storm? ",Why?,AI,26.0,impersonal_moral,yes,43
44,44,44,Raffle,no,i would purchase tickets for car a in the hope that i would have a greater chance of winning,"You've decided to buy a raffle ticket to support a local charity. They  are separately raffling off two different cars: Car A and Car B. You have decided to buy one raffle ticket. You are a serious and knowledgeable car enthusiast, and you think that these two cars are equally good. Because there have been a lot of adds for Car B on TV recently, many more people have chosen to buy tickets for the Car B raffle. Since more people have bought tickets for the Car B raffle, your chances of winning are better in the Car A raffle than in the Car B raffle. Would you buy a ticket for the Car B raffle in order to win a car?",Why?,Human,60d8f98d9d58bf54aeb8438a,non_moral,no,44
45,45,45,Five-for-Seven Trolley,yes,you asked this before. yes.,"You are at the wheel of a runaway trolley quickly approaching a fork  in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?",Why?,Human,60990cfc7441dc3e4c3e071a,impersonal_moral,yes,45
47,47,47,Grandson,no,it was incredibly irresponsible even if not done with the intention of killing her,"A young boy is visiting his grandmother for the weekend. Usually she gives  him a gift of a few dollars when he arrives, but this time she doesn't. He asks her why not and she says something about how he doesn't write her as many letters as he used to. Angered by this, the boy decides to play a trick on her. While his grandmother is busy cooking he removes a handful of pills from the medicine cabinet and puts them in his grandmother's teapot. Later that night, she makes her tea, and the dissolved pills make her sick. In the morning she is dead. Was it appropriate for this boy to put pills in his grandmother's teapot in order to play a trick on her?",Why?,Human,638070625c26e262f2163254,personal_moral,no,47
48,48,48,Five-for-Seven Trolley,no,because either way people will end up dying in the situation ,"You are at the wheel of a runaway trolley quickly approaching a fork  in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?",Why?,Human,5ca73fcf7067e70001f7a41f,impersonal_moral,no,48
49,49,49,Shower,no, conservation is always important and showering twice in one day can be wasteful.,"You are planning to attend a luncheon this afternoon, and before you go   you will need to take a shower. You have some yard work that you would like to do before then, and doing this yard will cause you to perspire a fair amount. If you shower before you do your yard work you will have to take another shower before the luncheon. At the present time you could enjoy taking a shower. At the same time, you have a very strong commitment to lowering your water bill and to showering no more than once a day. Would you shower before doing your yard work in order to enjoy a shower now? ",Why?,AI,16.0,non_moral,no,49
51,51,51,Euthanasia,no,"in many war scenarios, you stand by your man.","You are the leader of a small group of soldiers. You are on  your way back from a completed mission deep in enemy territory when one of your men has stepped in trap that has been set by the enemy and is badly injured. The trap is connected to a radio device that by now has alerted the enemy to your presence. They will soon be on their way. If the enemy finds your injured man they will torture him and kill him. He begs you not to leave him behind, but if you try to take him with you your entire group will be captured. The only way to prevent this injured soldier from being tortured is to shoot him yourself. Is it appropriate for you to shoot this soldier in order to prevent him from being tortured by the enemy?",Why?,Human,60990cfc7441dc3e4c3e071a,personal_moral,no,51
52,52,52,Shower,no,i would just take one shower to save time and water. i am going to perspire anyway so i will wait before the luncheon and just do the yard work before the shower.,"You are planning to attend a luncheon this afternoon, and before you go  you will need to take a shower. You have some yard work that you would like to do before then, and doing this yard will cause you to perspire a fair amount. If you shower before you do your yard work you will have to take another shower before the luncheon. At the present time you could enjoy taking a shower. At the same time, you have a very strong commitment to lowering your water bill and to showering no more than once a day. Would you shower before doing your yard work in order to enjoy a shower now?",Why?,Human,5b421b9ac2e3810001763252,non_moral,no,52
53,53,53,Standard Trolley,yes,"  it is important to consider the consequences of not hitting the switch. if the switch is not hit, the trolley will proceed to the left, causing the deaths of the five railway workmen. this is an outcome that should be avoided if possible. by hitting the switch, the trolley will proceed to the right, causing the death of the single workman. while this is an unfortunate outcome, it is the best decision that can be made in this situation in order to avoid the death of the five workmen.","You are at the wheel of a runaway trolley quickly approaching a fork   in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen? ",Why?,AI,20.0,impersonal_moral,yes,53
54,54,54,Resume,no,"  it is not appropriate for your friend to put false information on his resume in order to help him find employment because it is dishonest and unethical. it sets a bad example for other job seekers, and could potentially lead to legal consequences if he is ever caught. furthermore, it does not guarantee success, and ultimately, it is better to be honest and upfront about your qualifications and experience when applying for a job.","You have a friend who has been trying to find a job lately   without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment? ",Why?,AI,18.0,impersonal_moral,no,54
