,Unnamed: 0,Unnamed: 0.1,title,a0,a1,q0,q1,source,sub_id,cond,val,index
10,10,10,Environmental Policy A1,yes,itn order to reduce the chance of far greater loss of life,"You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy A over Policy B?",Why?,Human,638070625c26e262f2163254,impersonal_moral,yes,10
11,11,11,Three-for-Seven Fumes,yes,"   the reason is that the death of three patients is less than the death of seven patients. in other words, it is better to have three patients die than to have seven patients die.","You are the late-night watchman in a hospital. Due to an accident in   the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there are seven patients. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to save these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three people. As a result of doing this the fumes will enter the room containing the seven patients, causing their deaths. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients? ",Why?,AI,0.0,impersonal_moral,yes,11
12,12,12,Standard Fumes,yes,"  the reason is that, although the single patient will die as a result of hitting the switch, the three patients will die if the switch is not hit. therefore, by hitting the switch, you are resulting in the least number of deaths.","You are the late-night watchman in a hospital. Due to an accident in   the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients? ",Why?,AI,15.0,impersonal_moral,yes,12
13,13,13,Broken VCR,no,"  there are a few reasons why i would not have my old vcr fixed. first, $100 is a lot of money to spend on repairing an old vcr, especially when i can get a new one for the same price. second, the new vcr is likely to be of better quality than my old one, so it makes more sense to invest in a new one rather than fixing the old one. finally, even if the new vcr is not on sale, it is still likely to be cheaper in the long run to buy a new one rather than repairing the old one, since repair costs can add up over time.",You have brought your broken VCR to the local repair shop. The woman   working at the shop tells you that it will cost you about $100 to have it fixed. You noticed in the paper that morning that the electronics shop next door is having a sale on VCR’s and that a certain new VCR which is slightly better than your old one is on sale for $100. Would you have your old VCR fixed in order to avoid spending money on a new one? ,Why?,AI,2.0,non_moral,no,13
14,14,14,Environmental Policy B2,yes,"   policy A has a lower chance of causing deaths than policy B, and thus is the better option.",You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 88% chance of causing no deaths and a 12% chance of causing 10 deaths. Is it appropriate for you to vote for Policy A over Policy B? ,Why?,AI,11.0,impersonal_moral,yes,14
15,15,15,Resume,no,  putting false information on a resume is a form of cheating. it is not fair to the other candidates who were more qualified than your friend.,"You have a friend who has been trying to find a job lately   without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment? ",Why?,AI,14.0,impersonal_moral,no,15
16,16,16,Stock Tip,no,it is illegal and immoral,"You are a management consultant working on a case for a large corporate  client. You have access to confidential information that would be very useful to investors. You have a friend who plays the stock market. You owe this friend a sizable sum of money. By providing her with certain confidential information you could help her make a lot of money, considerably more than you owe her. If you did this, she would insist on canceling your debt. Releasing information in this way is strictly forbidden by federal law. Is it appropriate for you to release this information to your friend so that she will cancel your debt?",Why?,Human,60d8f98d9d58bf54aeb8438a,impersonal_moral,no,16
17,17,17,Reversed Turnips,yes,"  the reason is simple: it is always better to have some turnips than no turnips. even though the path on the left will yield more turnips, the path on the right will still yield some turnips, which is better than nothing.",You are a farm worker driving a turnip-harvesting machine. You are approaching two   diverging paths. By choosing the path on the left you will harvest thirty bushels of turnips. By choosing the path on the right you will harvest fifteen bushels of turnips. If you do nothing your turnip-picking machine will turn to the left. Would you turn your turnip-harvesting machine to the right in order to harvest fifteen bushels of turnips instead of thirty? ,Why?,AI,21.0,non_moral,yes,17
18,18,18,Errands,no,"   the camera shop is near the furniture store and far from the bakery. as a result, you will have to do less driving if you go to the camera shop in the afternoon when you go to the furniture store.","You need to go to the bakery in the morning and the furniture   store in the afternoon. You also need to go to the camera shop at some point. You prefer to do most of your errands in the morning, but you very much dislike doing unnecessary driving. The camera shop is near the furniture store and far from the bakery. As a result you will have to do less driving if you go to the camera shop in the afternoon when you go to the furniture store. Is it appropriate for you to go to the camera shop in the morning in order to do most of your errands in the morning? ",Why?,AI,28.0,non_moral,no,18
19,19,19,Environmental Policy B1,no,"  policy B has a higher chance of causing deaths than policy A, so it is not the better option.","You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy B over Policy A? ",Why?,AI,8.0,impersonal_moral,no,19
20,20,20,Plant Transport,yes,"it is not much bother to make two trips for plants that cost pennies compared to thousands of upholstery, seems the best thing to do.","You are bringing home a number of plants from a store that is  about two miles from your home. The trunk of your car, which you've lined with plastic to catch the mud from the plants, will hold most of the plants you've purchased. You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace. Would you make two trips home in order to avoid ruining the upholstery of your car?",Why?,Human,5b421b9ac2e3810001763252,non_moral,yes,20
21,21,21,Environmental Policy A1,yes,odds are not very different but the number of deaths are much larger,"You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy A over Policy B?",Why?,Human,62fb79e7c968f4fc555d1e2f,impersonal_moral,yes,21
22,22,22,Train or Bus,yes,the meeting is more important than the chance to have some additional time at the risk of missing it ,"You need to travel from New York to Boston in order to attend  a meeting that starts at 2:00 PM. You can take either the train or the bus. The train will get you there just in time for your meeting no matter what. The bus is scheduled to arrive an hour before your meeting, but the bus is occasionally several hours late because of traffic. It would be nice to have an extra hour before the meeting, but you cannot afford to be late. Would you take the train instead of the bus in order to ensure your not being late for your meeting?",Why?,Human,600976bb815503417c529565,non_moral,yes,22
23,23,23,Illegal Lunch,no,"it is breaking the law and it is not right to do so, even if it helps me out ","You are a lawyer working on a big case. The judge presiding over  the trial happens to be someone you knew from law school. The two of you were rather friendly back then, but now, decades later, it seems that your old friend barely remembers you. You're quite sure that if you were to talk to him over lunch, you could jog his memory and he would begin to see you as an old buddy, which would be very good for your work on this case. It's illegal for judges and lawyers working on the same case to meet socially. Is it appropriate for you to meet with this judge socially in order to help you win your case?",Why?,Human,5ee3f235c53c280e4261bcc3,impersonal_moral,no,23
24,24,24,Investment Offer,no," based on what i know, there is no reason to think that this particular mutual fund will perform any better in the future.","You are at home one day when the mail arrives. You receive a   letter from a reputable corporation that provides financial services. They have invited you to invest in a mutual fund, beginning with an initial investment of one thousand dollars. As it happens, you are familiar with this particular mutual fund. It has not performed very well over the past few years, and, based on what you know, there is no reason to think that it will perform any better in the future. Would you invest a thousand dollars in this mutual fund in order to make money? ",Why?,AI,2.0,non_moral,no,24
25,25,25,Submarine,yes,this person is fatally injured and has no way of surviving. but there are other people that are not hurt and could survive. everyone dying in that situation can be avoided and i believe it should  ,You are the captain of a military submarine travelling underneath a large iceberg.  An onboard explosion has caused you to lose most of your oxygen supply and has injured one of your crew who is quickly losing blood. The injured crew member is going to die from his wounds no matter what happens. The remaining oxygen is not sufficient for the entire crew to make it to the surface. The only way to save the other crew members is to shoot dead the injured crew member so that there will be just enough oxygen for the rest of the crew to survive. Is it appropriate for you to kill the fatally injured crew member in order to save the lives of the remaining crew members?,Why?,Human,637ef49d54038582f78ff288,personal_moral,yes,25
26,26,26,Crying Baby,yes,"  the death of one innocent person is tragic, but the deaths of many innocent people are even more tragic. if you do not smother your child, the soldiers will kill him, you, and the other townspeople. smothering your child is the best way to protect the lives of the other people in the cellar.","Enemy soldiers have taken over your village. They have orders to kill all   remaining civilians. You and some of your townspeople have sought refuge in the cellar of a large house. Outside you hear the voices of soldiers who have come to search the house for valuables. Your baby begins to cry loudly. You cover his mouth to block the sound. If you remove your hand from his mouth his crying will summon the attention of the soldiers who will kill you, your child, and the others hiding out in the cellar. To save yourself and the others you must smother your child to death. Is it appropriate for you to smother your child in order to save yourself and the other townspeople? ",Why?,AI,24.0,personal_moral,yes,26
27,27,27,Scenic Route,yes,"  taking the coastal route would allow me to enjoy the beautiful scenery as i drive, which would make the trip more enjoyable overall.","An old friend has invited you to spend the weekend with him at   his summer home some ways up the coast from where you are. You intend to travel there by car, and there are two routes that you can take: the highway and the coastal road. The highway will get you to your friend’s house in about three hours, but the scenery along the highway is very boring. The coastal route will get you to your friend’s house in about three hours and fifteen minutes, and the scenery along the coastal road is breathtakingly beautiful. Would you take the coastal route in order to observe the beautiful scenery as you drive? ",Why?,AI,29.0,non_moral,yes,27
28,28,28,Raffle,no,"  the more people that have bought tickets for the car b raffle, the lower my chances are of winning that raffle.","You’ve decided to buy a raffle ticket to support a local charity. They   are separately raffling off two different cars: Car A and Car B. You have decided to buy one raffle ticket. You are a serious and knowledgeable car enthusiast, and you think that these two cars are equally good. Because there have been a lot of adds for Car B on TV recently, many more people have chosen to buy tickets for the Car B raffle. Since more people have bought tickets for the Car B raffle, your chances of winning are better in the Car A raffle than in the Car B raffle. Would you buy a ticket for the Car B raffle in order to win a car? ",Why?,AI,21.0,non_moral,no,28
30,30,30,Vitamins,yes,he will not die and save lives,"You are the leader of a mountaineering expedition that is stranded in the  wilderness. Your expedition includes a family of six that has a genetically caused vitamin deficiency. A few people's kidneys contain large amounts of this vitamin. There is one such person in your party. The only way to save the lives of the six members of this family is to remove one of this man's kidneys so that the necessary vitamins may be extracted from it. The man will not die if you do this, but his health will be compromised. The man is opposed to this plan, but you have the power to do as you see fit. Is it appropriate for you to forcibly remove this man's kidney in order to save the lives of the six vitamin-deficient people?",Why?,Human,610024bfd6e1038ba3b1601d,personal_moral,yes,30
31,31,31,Speedboat,yes,"  the reason why it is appropriate to borrow the speedboat in order to warn the tourists about the storm is because it is the morally right thing to do. the storm is a threat to the tourists' safety, and by warning them, you could potentially save their lives. the miserly tycoon may not be happy about you borrowing his speedboat, but that is a secondary concern to the safety of the tourists.","While on vacation on a remote island, you are fishing from a seaside   dock. You observe a group of tourists board a small boat and set sail for a nearby island. Soon after their departure you hear over the radio that there is a violent storm brewing, a storm that is sure to intercept them. The only way that you can ensure their safety is to warn them by borrowing a nearby speedboat. The speedboat belongs to a miserly tycoon who would not take kindly to your borrowing his property. Is it appropriate for you to borrow the speedboat in order to warn the tourists about the storm? ",Why?,AI,13.0,impersonal_moral,yes,31
32,32,32,Infanticide,no,"this is one of the most disgusting things you could do! the child didn't ask to be born - if i was unable to care for it, i would take it somewhere that can and that can help.","You are a fifteen year-old girl who has become pregnant. By wearing loose  clothing and deliberately putting on weight you have managed to keep your pregnancy a secret. One day, while at school, your water breaks. You run to the girls locker room and hide for several hours while you deliver the baby. You are sure that you are not prepared to care for this baby. You think to yourself that it would be such a relief to simply clean up the mess you've made in the locker room, wrap the baby in some towels, throw the baby in the dumpster behind the school, and act as if nothing had ever happened. Is it appropriate for you to throw your baby in the dumpster in order to move on with your life?",Why?,Human,614726b73ab8022a9edc7f45,personal_moral,no,32
33,33,33,Lifeboat 2,yes,"  the reason is that the person is already going to die, so their death will not make any difference. however, the other passengers will die if the boat sinks, so it is better to save as many lives as possible.","You are on a cruise ship when there is a fire on board,   and the ship has to be abandoned. The lifeboats are carrying many more people than they were designed to carry. The lifeboat you’re in is sitting dangerously low in the water—a few inches lower and it will sink. The seas start to get rough, and the boat begins to fill with water. If nothing is done it will sink before the rescue boats arrive and everyone on board will die. However, there is an injured person who will not survive in any case. If you throw that person overboard the boat will stay afloat and the remaining passengers will be saved. Is it appropriate for you to throw this person overboard in order to save the lives of the remaining passengers? ",Why?,AI,3.0,personal_moral,yes,33
34,34,34,Environmental Policy A1,yes,choosing policy A over policy B is more appropriate as this would save more lives compared to policy B which could cause a lot of deaths,"You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy A over Policy B?",Why?,Human,62d6d77df59450e545fb22f6,impersonal_moral,yes,34
35,35,35,Taxes,yes,it is accepted that most people do this ,"You are the owner of a small business trying to make ends meet.  It occurs to you that you could lower your taxes by pretending that some of your personal expenses are business expenses. For example, you could pretend that the stereo in your bedroom is being used in the lounge at the office, or that your dinners out with your wife are dinners with clients. Is it appropriate for you to pretend that certain personal expenses are business expenses in order to lower your taxes?",Why?,Human,600976bb815503417c529565,impersonal_moral,yes,35
36,36,36,Investment Offer,no,doesn't sounds like it will make me money if it's track record isn't very good.,"You are at home one day when the mail arrives. You receive a  letter from a reputable corporation that provides financial services. They have invited you to invest in a mutual fund, beginning with an initial investment of one thousand dollars. As it happens, you are familiar with this particular mutual fund. It has not performed very well over the past few years, and, based on what you know, there is no reason to think that it will perform any better in the future. Would you invest a thousand dollars in this mutual fund in order to make money?",Why?,Human,601c2a9251c0bc6ca76c8d75,non_moral,no,36
37,37,37,Footbridge,yes,"   the principle of utilitarianism holds that an action is right if it results in the greatest amount of happiness for the greatest number of people. in this case, pushing the stranger onto the tracks would result in the greatest amount of happiness for the greatest number of people. the five workmen would be saved, and although the stranger would die, his death would result in a greater amount of happiness than the deaths of the five workmen.","A runaway trolley is heading down the tracks toward five workmen who will   be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large. The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved. Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen? ",Why?,AI,2.0,personal_moral,yes,37
38,38,38,Smother for dollars,no,"  first, it would be morally wrong to kill someone for the purpose of financial gain. second, there is no guarantee that the young man would actually receive the money if his father died before midnight. it is possible that the insurance company would refuse to pay out the policy if they found out that the young man had arranged for his father to be killed.","You are in hospital lounge waiting to visit a sick friend. A young   man sitting next to you explains that his father is very ill. The doctors believe that he has a week to live at most. He explains further that his father has a substantial life insurance policy that expires at midnight. If his father dies before midnight, this young man will receive a very large sum of money. He says that the money would mean a great deal to him and that no good will come from his father’s living a few more days. He offers you half a million dollars to go up to his father’s room and smother his father with a pillow. Is it appropriate for you to kill this man’s father in order to get money for yourself and this young man? ",Why?,AI,16.0,personal_moral,no,38
39,39,39,New Job,yes,"  the two firms and the two positions are otherwise very similar, so the deciding factor in this case is the vacation time. if you feel that two more days of vacation per year is worth the difference in salary, then it is appropriate for you to take firm B's offer.","You have been offered employment by two different firms, and you are   trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm B’s offer in order to have two more days of vacation per year? ",Why?,AI,5.0,non_moral,yes,39
40,40,40,Grandson,no,  the boy's actions were dangerous and could have easily resulted in his grandmother's death. it is never appropriate to play a trick on someone that could potentially result in their death.,"A young boy is visiting his grandmother for the weekend. Usually she gives   him a gift of a few dollars when he arrives, but this time she doesn’t. He asks her why not and she says something about how he doesn’t write her as many letters as he used to. Angered by this, the boy decides to play a trick on her. While his grandmother is busy cooking he removes a handful of pills from the medicine cabinet and puts them in his grandmother’s teapot. Later that night, she makes her tea, and the dissolved pills make her sick. In the morning she is dead. Was it appropriate for this boy to put pills in his grandmother’s teapot in order to play a trick on her? ",Why?,AI,7.0,personal_moral,no,40
41,41,41,Vaccine Policy,yes," the available evidence suggests that the chances of getting the disease without being vaccinated are much higher than the chances of getting the disease by taking the vaccine. therefore, it is in the best interest of public health to encourage people to take the vaccine.","You work for the Bureau of Health, a government agency. You are deciding   whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to prevent. All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health? ",Why?,AI,24.0,impersonal_moral,yes,41
42,42,42,Grandson,no,"  well, for one, it was dangerous and could have seriously harmed or even killed his grandmother. secondly, it was mean-spirited and childish. tricking someone - especially an elderly person - in this way is not funny, it's just cruel.","A young boy is visiting his grandmother for the weekend. Usually she gives   him a gift of a few dollars when he arrives, but this time she doesn’t. He asks her why not and she says something about how he doesn’t write her as many letters as he used to. Angered by this, the boy decides to play a trick on her. While his grandmother is busy cooking he removes a handful of pills from the medicine cabinet and puts them in his grandmother’s teapot. Later that night, she makes her tea, and the dissolved pills make her sick. In the morning she is dead. Was it appropriate for this boy to put pills in his grandmother’s teapot in order to play a trick on her? ",Why?,AI,26.0,personal_moral,no,42
43,43,43,Sacrifice,no,i would not kill my oldest child. i would put up a fight or let the leader kill me over my child. ,"You, your husband, and your four children are crossing a mountain range on  your return journey to your homeland. You have inadvertently set up camp on a local clan's sacred burial ground. The leader of the clan says that according to the local laws, you and your family must be put to death. However, he will let yourself, your husband, and your three other children live if you yourself will kill your oldest son. Is it appropriate for you to kill your oldest son in order to save your husband and your other three children?",Why?,Human,5bad4be8b712f30001b87947,personal_moral,no,43
44,44,44,Broken VCR,no,for the same amount of money i can buy a better quality vcr so this is the better choice.,You have brought your broken VCR to the local repair shop. The woman  working at the shop tells you that it will cost you about $100 to have it fixed. You noticed in the paper that morning that the electronics shop next door is having a sale on VCR's and that a certain new VCR which is slightly better than your old one is on sale for $100. Would you have your old VCR fixed in order to avoid spending money on a new one?,Why?,Human,5b421b9ac2e3810001763252,non_moral,no,44
45,45,45,Bomb 2,yes,it would prevewnt the deaths of innocent people.,"You are negotiating with a powerful and determined terrorist who is about to  set off a bomb in a crowded area. Your one advantage is that you have his teenage son in your custody. There is only one thing that you can do to stop him from detonating his bomb, which will kill thousands of people if detonated. To stop him, you must contact him over the satellite hook-up that he has established and, in front of the camera, break one of his son's arms and then threaten to break the other one if he does not give himself up. Is it appropriate for you to break the terrorist's son's arm in order to prevent the terrorist from killing thousands of people with his bomb?",Why?,Human,5f3bdc715637da0bc38980ba,personal_moral,yes,45
46,46,46,Vaccine Policy,yes,because the chance of getting the disease without the vaccination is significantly higher ,"You work for the Bureau of Health, a government agency. You are deciding  whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to prevent. All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health?",Why?,Human,5ca73fcf7067e70001f7a41f,impersonal_moral,yes,46
47,47,47,Architect,no,"  pushing your boss off of the building would be an act of murder, which is morally wrong. additionally, it would be illegal and you could be charged with homicide.",You are a young architect visiting one of your construction sites with your   boss. Your boss is a despicable individual who makes everyone around him miserable including you. It occurs to you that if you were to push him off of the building you are inspecting he would fall to his death and everyone would think it was an accident. Is it appropriate for you to push your boss off of the building in order to get him out of your life? ,Why?,AI,6.0,personal_moral,no,47
48,48,48,Taxes,no,"tax fraud is illegal, you could end up with a bigger fine than youre saving if caught","You are the owner of a small business trying to make ends meet.  It occurs to you that you could lower your taxes by pretending that some of your personal expenses are business expenses. For example, you could pretend that the stereo in your bedroom is being used in the lounge at the office, or that your dinners out with your wife are dinners with clients. Is it appropriate for you to pretend that certain personal expenses are business expenses in order to lower your taxes?",Why?,Human,62fb79e7c968f4fc555d1e2f,impersonal_moral,no,48
49,49,49,Infanticide,no,"  there are a number of reasons why this would not be the right thing to do. first and foremost, it would be incredibly harmful to the baby. being born and then abandoned in a dumpster is not something any child deserves, and it could potentially lead to serious health problems or even death. additionally, it would be illegal in most jurisdictions, and you could be charged with child abuse or neglect if you were caught. furthermore, it would be unfair to the child's father (if he is known) and other family members who might want to be involved in the child's life. finally, it is simply not an ethical thing to do. abandoning a baby in a dumpster is callous and heartless, and it is not a decision that should be made lightly.","You are a fifteen year-old girl who has become pregnant. By wearing loose   clothing and deliberately putting on weight you have managed to keep your pregnancy a secret. One day, while at school, your water breaks. You run to the girls locker room and hide for several hours while you deliver the baby. You are sure that you are not prepared to care for this baby. You think to yourself that it would be such a relief to simply clean up the mess you’ve made in the locker room, wrap the baby in some towels, throw the baby in the dumpster behind the school, and act as if nothing had ever happened. Is it appropriate for you to throw your baby in the dumpster in order to move on with your life? ",Why?,AI,1.0,personal_moral,no,49
50,50,50,Environmental Policy B2,no,the risk of policy A is too great when polciy b still has a good success rate,You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 88% chance of causing no deaths and a 12% chance of causing 10 deaths. Is it appropriate for you to vote for Policy A over Policy B?,Why?,Human,62d7ff5d3dc7c359cb3fa1ab,impersonal_moral,no,50
51,51,51,Architect,no,"  killing someone, even if they are a terrible person, is never justified.",You are a young architect visiting one of your construction sites with your   boss. Your boss is a despicable individual who makes everyone around him miserable including you. It occurs to you that if you were to push him off of the building you are inspecting he would fall to his death and everyone would think it was an accident. Is it appropriate for you to push your boss off of the building in order to get him out of your life? ,Why?,AI,5.0,personal_moral,no,51
